#[CAMERA]

[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
floor.txt
background.txt
color-block.txt
prize.txt
koopa.txt
koopa-red.txt
koopa-green.txt
font.txt
hud.txt
pipe.txt
plant.txt
number.txt
fireball.txt
effect.txt

#0 : mario
#1 : brick
#2 : goomba
#3 : koopa red
#4 : coin
#5 : platform
#7 : fireball
#8 : plant
#9 : pipe
#10 : mountain
#12 : color block
#14 : koopa green
#15 : question block
#16 : mushroom
#17 : smoke
#18 : cloud
#19 : floor
#20 : background color
#21:  unbreakablebrick
#22: goombafly
#27: switch
#28: invisible wall
#29: boomerang bro
#31: decoration
#50 : portal
#100 : camera
[OBJECTS]

#CAMERA
100	0	300	2816	475	1

#CAMERA AND WALL FOR TEST
#100	0	300	2816	475	0
#28	7	207	10	416	2500	0

#INVINCIBLE WALL
28	7	207	10	416	2500	1
28	2055	232	10	416	2500	0
28	2582	232	10	416	2500	0

#ABYSS
25	1415	525

#BG COLOR
20	7	7	129	27	0
20	2071	7	13	26	0
#20	2055	7	1	27	1
20	2279	7	19	26	1
19	2071	423	32	1	0
20	2263	7	1	26	2

#CLOUD
33	103	311	0
33	279	304	0
33	391	400	0
33	503	384	0
33	679	352	0
33	807	336	0
33	935	400	0
33	1175	416	0
33	1271	272	0
33	1383	336	0
33	1447	400	0
33	1671	320	0
33	1735	416	0
33	1783	288	0
33	2007	320	0

33	167	263	1
33	23	295	1
33	231	407	1
33	423	311	1
33	551	279	1
33	711	279	1
33	807	407	1
33	903	311	1
33	1063	279	1
33	1159	343	1
33	1335	391	1
33	1463	295	1
33	1575	295	1
33	1639	359	1
33	1863	359	1
33	1927	279	1

#SMALLBUSH
31	71	343	3
31	87	343	3
31	103	343	3
31	119	343	3
31	135	343	3
31	2087	407	3
31	2103	407	3

#WOOD
21	2039	247	0
21	2039	263	0
21	2039	279	0
21	2039	295	0
21	2039	311	0
21	2039	327	0
21	2039	343	0
21	2039	359	0
21	2039	375	0
21	2039	391	0

#COIN
4	343	311	2
4	359	311	2
4	375	311	2
4	423	279	2
4	439	279	2
4	455	279	2
4	775	311	2
4	791	311	2
4	807	311	2
4	855	279	2
4	871	279	2
4	887	279	2
4	1335	295	2
4	1351	295	2
4	1367	295	2
4	1511	279	2
4	1511	295	2
4	1511	311	2
4	1511	327	2
4	1511	343	2
4	1511	359	2
4	1511	375	2
4	1511	391	2
4	1895	311	2
4	1911	311	2
4	1927	311	2

#BRICK
1	231	359	0
1	247	359	0
1	263	359	0
1	279	359	0
1	391	343	0
1	407	343	0
1	423	343	0
1	439	343	0
1	455	343	0
1	615	295	0
1	631	295	0
15	647	295	3
1	663	295	0
1	647	375	0
1	663	375	0
1	759	327	0
1	759	343	0
1	759	359	0
1	759	375	0
1	775	375	0
1	791	375	0
1	807	375	0
1	871	343	0
1	871	359	0
1	871	375	0
1	871	391	0
1	887	391	0
1	903	391	0
1	951	343	0
1	951	359	0
15	967.5	359	5
1	967	407	0
1	983	407	0
1	999	407	0
1	1015	407	0
1	1015	359	2
#Them type moi	
1	1031	359	0
1	1047	359	0
1	1063	359	0
1	1079	359	0
1	1159	391	0
1	1175	391	0
1	1191	391	0
1	1207	391	0
1	1223	391	0
1	1191	311	0
1	1207	311	0
1	1223	311	0
1	1239	311	0
15	1239	295	3
1	1271	375	0
1	1287	375	0
1	1399	311	0
1	1415	311	0
1	1431	311	0
1	1543	295	2
1	1543	311	0
1	1543	375	0
1	1543	391	0
1	1543	407	0
1	1559	407	0
1	1575	407	0
1	1591	407	0
1	1735	295	0
1	1735	311	0
1	1735	327	0
1	1783	375	0
1	1799	375	0
1	1815	375	0

#PIPE	
9	1943	343	16	16	4	63000	63100	63200	63300	1	2
9	2199	391	16	16	2	63000	63100	63200	63300	0	0

#MOVING PLATFORM
30	388	327
30	560	359
30	599	311
30	631	407
30	751	343
30	1096	391
30	1205	327
30	1381	359
30	1421	343
30	1552	311
30	1735	391
30	1748	343
30	1796	423

#### BIG GREEN FLOOR
19	7	359	10	5	1
19	1975	375	3	2	1

19	1927	407	8	2	2

#MOUNTAIN
10	2135	391	2	2	0	0
10	2151	407	2	1	0	0
10	2135	375	2	1	1	0
10	2151	391	2	1	1	0
10	2119	407	2	1	1	0

10	2359	343	2	2	0	1
10	2359	375	3	2	0	1
10	2359	407	4	1	0	1
10	2359	327	2	1	1	1
10	2375	359	2	1	1	1
10	2391	391	2	1	1	1
10	2343	407	2	1	1	1

10	2535	391	2	2	0	1
10	2535	375	2	1	1	1
10	2519	407	2	1	1	1

#BORDER & PRIZE
31	2455	343	4
32	2455	343

# MARIO
0	100	300

# MARIO
#0	1948	300

#ENEMIES
#KOOPARED
3	1070	333	0
3	1879	308	1
3	1992	349	0
