# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
pipe.txt
Fireball.txt
Plant.txt
number.txt
background.txt
koopa-green.txt
koopa-red.txt
font.txt
hud.txt
effect.txt
boomerang-bro.txt
#

[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = pile
# See OBJECT_TYPE constants in AssetIDs.h

#CAMERA
100	0	0	1000	1000	0

#BOOMERANG BRO
29	80	100

15	40	100	1

#ENEMIES

#KOOPARED
#14	80	50	0
#3	120	50	1

#KOOPAGREEN
#14	150	50	0
#14	130	50	1


#GOOMBAFLY
#22	130	100
#GOOMBA
#2	30	50
#2	10	50

#Switch
#27	96	164	

#15	96	120	4
#15	80	120	2
#15	64	120	3
15	350	164	1
#CLOUDDELETE
#17	100	100

#HIGHER BRICKS
#1	216	130
#1	232	130
#1	248	130
#1	264	130
#1	280	130
#1	400	130	
#1	416	130
#1	432	130
#1	248	80
1	0	164
1	0	148
1	0	132
#1	160	164	
#1	160	148	
#1	160	132

#PLANT ( type, x, y, color, type, size)
#for green fireplant (color = 10, type = 0, size = 0)
#8	348	156.5	10	0	0
#for red fireplant ( color = 0, type = 0, size =1)
#8	158	152	0	0	1
#for green plant (color = 10, type = 1, size = 0)
#8	100	173	10	1	0


#PIPE
#9	340	132	16	16	3	63000	63100	63200	63300	1
#9	150	132	16	16	3	63000	63100	63200	63300	1
#9	92	148	16	16	2	63000	63100	63200	63300	1

# BRICKS
1	0	180
1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180	
1	352	180	
1	368	180
1	384	180
1	400	180
1	416	180
1	432	180
1	448	180
1	464	180
1	480	180
1	496	180
1	512	180	
1	528	180
1	544	180
1	560	180
1	576	180
1	592	180
1	608	180
1	624	180
1	640	180
1	656	180
1	672	180
1	688	180
1	704	180
1	720	180
1	736	180
1	752	180
1	768	180
1	784	180
1	800	180
1	816	180
1	832	180
1	848	180
1	864	180
1	880	180
1	896	180
1	912	180
1	928	180
1	944	180
1	960	180
1	976	180
1	992	180
1	1008	180
1	1024	180
1	1040	180
1	1056	180
1	1072	180
1	1088	180
1	1104	180
1	1120	180
1	1136	180
1	1152	180
1	1168	180
1	1184	180
1	1200	180
1	1216	180
1	1232	180
1	1248	180
1	1264	180
1	1280	180





# MARIO
0	20	100





