# id	left	top	right	bottom	texture_id
#OBJ ID 12
[SPRITES]

#WHITE BLOCK
1201	1	1	16	16	50
1202	18	1	33	16	50
1203	35	1	50	16	50
1204	1	18	16	33	50
1205	18	18	33	33	50
1206	35	18	50	33	50
1207	1	35	16	50	50
1208	18	35	33	50	50
1209	35	35	50	50	50

#GREEN BLOCK
1210	52	1	67	16	50
1211	69	1	84	16	50
1212	86	1	101	16	50
1213	52	18	67	33	50
1214	69	18	84	33	50
1215	86	18	101	33	50
1216	52	35	67	50	50
1217	69	35	84	50	50
1218	86	35	101	50	50

#RED BLOCK
1219	1	52	16	67	50
1220	18	52	33	67	50
1221	35	52	50	67	50
1222	1	69	16	84	50
1223	18	69	33	84	50
1224	35	69	50	84	50
1225	1	86	16	101	50
1226	18	86	33	101	50
1227	35	86	50	101	50

#GREEN BLOCK
1228	52	52	67	67	50
1229	69	52	84	67	50
1230	86	52	101	67	50
1231	52	69	67	84	50
1232	69	69	84	84	50
1233	86	69	101	84	50
1234	52	86	67	101	50
1235	69	86	84	101	50
1236	86	86	101	101	50

#SHADOW
1241	103	69	118	84	50
1242	103	86	118	101	50
1243	103	103	118	118	50
1244	86	103	101	118	50
1245	69	103	84	118	50

