#texture id 80
[SPRITES]
# 0 -> 9
8000	76	190	83	197	80
8001	86	190	93	197	80
8002	96	190	103	197	80
8003	106	190	113	197	80
8004	116	190	123	197	80
8005	126	190	133	197	80
8006	136	190	143	197	80
8007	146	190	153	197	80
8008	156	190	163	197	80
8009	166	190	173	197	80

# A -> Z
8010	176	190	183	197	80 
8011	186	190	193	197	80

8012	76	201	83	208	80
8013	86	201	93	208	80
8014	96	201	103	208	80
8015	106	201	113	208	80
8016	116	201	123	208	80
8017	126	201	133	208	80
8018	136	201	143	208	80
8019	146	201	153	208	80
8020	156	201	163	208	80
8021	166	201	173	208	80
8022	176	201	183	208	80
8023	186	201	193	208	80

8024	76	211	 83	218	80
8025	86	211	93	218	80
8026	96	211	103	218	80
8027	106	211	113	218	80
8028	116	211	123	218	80
8029	126	211	133	218	80
8030	136	211	143	218	80
8031	146	211	153	218	80
8032	156	211	163	218	80
8033	166	211	173	218	80
8034	176	211	183	218	80
8035	186	211	193	218	80
